"Agency","Program","Population","County","Units/Beds","Occupied","Open","Contact"
"HABcore","HABcore - 12 Bay Avenue - Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","3","3","0","Steve Heisman:: 732 544 - 1975"
"HABcore","HABcore - Laurel House - Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","26","29","1","Penny Bird:: 732 774 - 9601"
"HABcore","HABcore - Malley House - Ocean","SMF+HC=Single Male and Female and Households with Children","OCEAN","5","5","0","Steve Heisman:: 732 544 - 1975"
"HABcore","HABcore - 10 Bay Avenue - Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","5","5","1","Steve Heisman:: 732 544 - 1975"
"HABcore","HABcore - Laurel House Respite - Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","2","0","2","Penny Bird:: 732 774 - 9601"
"HABcore","HABcore - River Street - Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","5","4","2","Steve Heisman:: 732 544 - 1975"
"Helping Arms","Helping Arms Housing Program Mercer","SMF=Single Males and Females 18 years and older","MERCER","17","30","8","609 396 - 7500"
"Hispanic Multi","H.M.P.S.C. Switch Program Passaic","HC=Households with Children","PASSAIC","15","13","3","Silvia Kavakich:: 973 684 - 3320"
"Homefirst Interfaith Housing and Family Services","Homefirst-PHA 35 unit SPC-Union","SMF+HC=Single Male and Female and Households with Children","UNION","35","34","0","Melinda Allen-Grote:: 908 753 - 4001"
"Homefirst Interfaith Housing and Family Services","Homefirst SH Program--5U-Union","SMF+HC=Single Male and Female and Households with Children","UNION","5","4","1","Jennie Crespo:: 908 753 - 4001 x14"
"Homefirst Interfaith Housing and Family Services","Homefirst SH Program--8UA-Union","SMF+HC=Single Male and Female and Households with Children","UNION","8","8","0","Jennie Crespo:: 908 753 - 4001 x14"
"Homefirst Interfaith Housing and Family Services","Homefirst SH Program--4UA-Union","SMF+HC=Single Male and Female and Households with Children","UNION","4","4","0","Jennie Crespo:: 908 753 - 4001 x14"
"Homefirst Interfaith Housing and Family Services","Homefirst SH Program--2U-Union","SMF+HC=Single Male and Female and Households with Children","UNION","2","2","0","Jennie Crespo:: 908 753 - 4001 x14"
"Homefirst Interfaith Housing and Family Services","Homefirst SH Program--4U-Union","SMF+HC=Single Male and Female and Households with Children","UNION","4","4","0","Jennie Crespo:: 908 753 - 4001 x14"
"Homefirst Interfaith Housing and Family Services","IFC Transitional Housing Program Union","HC=Households with Children","UNION","5","4","3","Laquanna Walker:: 908 753 - 4001 x11"
"Homefirst Interfaith Housing and Family Services","HOMEFIRST-PH-Union","SMF+HC=Single Male and Female and Households with Children","UNION","11","11","0","908 769 - 6510"
"Homefirst Interfaith Housing and Family Services","Homefirst-8U-Union","SMF+HC=Single Male and Female and Households with Children","UNION","8","7","0","Jennie Crespo:: 908 753 - 4001 x14"
"Home Front","HF Project Home I-IV Mercer","HC=Households with Children","MERCER","30","27","3","Andrea Headley:: 609 989 - 9417"
"Home Front","HF Carl's Place Mercer","SM=Single Males 18 years and older","MERCER","1","0","1","Brenda Whitaker:: 609 989 - 9417"
"Home Front","HF Project Home X Mercer","HC=Households with Children","MERCER","8","8","0","609 989 - 9417"
"Home Front","HF - Project XII - Mercer","HC=Households with Children","MERCER","4","1","3","609 989 - 9417"
"Home Front","HF - Housing Now RRHD - Mercer","HC=Households with Children","MERCER","1","0","1","609 989 - 9417"
"Home Front","HF-KinshipHUD-Mercer","HC=Households with Children","MERCER","6","6","0","Andrea Headley:: 609 989 - 9417"
"Home Front","HF TLC Mercer","HC=Households with Children","MERCER","10","9","1","Brenda Whitaker:: 609 989 - 9417"
"Home Front","HF - Project VIII - Mercer","HC=Households with Children","MERCER","4","4","0","Andrea Headley:: 609 989 - 9417"
"Home Front","HF Project Home V Mercer","SMF+HC=Single Male and Female and Households with Children","MERCER","12","9","3","Brenda Whitaker:: 609 989 - 9417"
"Home Front","HF Family Preservation Center Mercer","HC=Households with Children","MERCER","34","25","9","Sheila Addison:: 609 883 - 7500"
"Home Front","HF Gateway Mercer","SF=Single Females 18 years and older","MERCER","12","7","5","Sheila Addison:: 609 833 - 7500"
"Home Front","HF-FreshStart/Emergency Placement A -Mercer","HC=Households with Children","MERCER","4","4","0","Brenda Whitaker:: 609 989 - 9417"
"Home Front","HF Kinship Mercer","HC=Households with Children","MERCER","2","2","0","Andrea Headley:: 609 989 - 9417"
"Home Front","HF Project Home IX Mercer","HC=Households with Children","MERCER","3","3","0","Larry Wenger:: 609 989 - 9417"
"Home Front","HF Project Home VII Mercer","HC=Households with Children","MERCER","4","4","0","Andrea Headley:: 609 989 - 9417"
"Home Front","HF Project Home VI Mercer","HC=Households with Children","MERCER","4","4","0","Andrea Headley:: 609 989 - 9417"
"Home Front","HF TLC-HUD Mercer","HC=Households with Children","MERCER","6","6","0","Brenda Whitaker:: 609 989 - 9417"
"Home Front","HF Huchet House Mercer","SMF+HC=Single Male and Female and Households with Children","MERCER","8","5","3","Brenda Whitaker:: 609 989 - 9417"
"Home Front","HF - Siloam Homes - Mercer","SMF+HC=Single Male and Female and Households with Children","MERCER","7","7","0","Brenda Whitaker:: 609 989 - 9417"
"Homeless Solutions","HSI Men's Program Morris County","SM=Single Males 18 years and older","MORRIS","25","19","6","Elaine Johnson:: 973 993 - 0833"
"Homeless Solutions","HSI Single Women Program Morris County","SF=Single Females 18 years and older","MORRIS","10","7","3","Elaine Johnson:: 973 993 - 0833"
"Homeless Solutions","HSI Transitional Housing Program Morris County","HC=Households with Children","MORRIS","10","10","0","Elizabeth D'Esterhazy:: 973 455 - 0129"
"Homeless Solutions","HSI Safe Haven Program Morris County","SMF=Single Males and Females 18 years and older","MORRIS","20","17","3","Elaine Johnson:: 973 993 - 0833"
"Homeless Solutions","HSI PSH Morris","SMF+HC=Single Male and Female and Households with Children","MORRIS","15","14","1","Elaine Johnson:: 973 455 - 0129"
"Homeless Solutions","HSI Family Program Morris County","HC=Households with Children","MORRIS","10","13","0","Elaine Johnson:: 973 993 - 0833"
"House of Faith Inc","The House of Faith Inc-The House of Faith-Hudson","SMF=Single Males and Females 18 years and older","HUDSON","8","7","1","Renee Riley:: 201 435 - 6100"
"IHN for the Homeless of Essex County","IHN-TH Montclair-Essex","HC=Households with Children","ESSEX","4","4","0","Dorothea Aery:: 973 746 - 1400"
"IHN for the Homeless of Essex County","IHN - Emergency shelter - Essex","HC=Households with Children","ESSEX","14","4","10","Dorothea Aery:: 973 746 - 1400"
"IHOC","IHOC-Permenant Housing-Camden","SMF+HC=Single Male and Female and Households with Children","CAMDEN","1","0","1","856 963 - 5820"
"Integrity Inc.","Integrity-Women and Children's Permanent Housing-Essex","SF+HC=Single Females and Households with Children","ESSEX","8","16","38","Michele Miles:: 973 848 - 3753"
"Integrity Inc.","Integrity Womens Transitional Housing","SF=Single Females 18 years and older","ESSEX","24","15","9","Michele Miles:: 973 848 - 3753"
"Integrity Inc.","Integrity-Mens Permanent Housing-Essex","SM=Single Males 18 years and older","ESSEX","69","51","18","Michele Miles:: 973 848 - 3753"
"Interfaith Homeless Outreach Council","IHOC Network Camden","SM=Single Males 18 years and older","CAMDEN","12","5","4","Sonya Lewis:: 856 963 - 5820"
"Interfaith Homeless Outreach Council","IHOC Transitional Housing Camden","SM=Single Males 18 years and older","CAMDEN","6","1","4","Sonya Lewis:: 856 547 - 2237"
"Interfaith Hospitality","IHN - Emergency Shelter - Gloucester","HC=Households with Children","GLOUCESTER","14","2","12","856 243 - 5971"
"Interfaith Hospitality","IHN-Homeless Shelter-Hunterdon","HC=Households with Children","HUNTERDON","4","4","0","Geleen Donovan:: 908 782 - 2490"
"Interfaith Hospitality Network","IHN Emergency Shelter Burlington","HC=Households with Children","BURLINGTON","13","9","2","856 638 - 0110"
"Interfaith Hospitality Network","IHN-Triple Towns Code Blue Initiative-Burlington","SMF=Single Males and Females 18 years and older","BURLINGTON","14","0","14","856 638 - 0110"
"Irvington Neighborhood Improvement Corp INIC","INIC-HOPWA-Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","16","4","11","973 416 - 0909"
"Irvington Neighborhood Improvement Corp INIC","INIC-Transitional Housing-Essex","HC=Households with Children","ESSEX","19","13","6","Sayeeda Moore:: 973 416 - 0909"
"Isaiah House","Isaiah House SHP Disabled Head of Household-Essex","HC=Households with Children","ESSEX","7","7","0","glenda kirkland:: 973 678 - 5882"
"Isaiah House","Isaiah House - Shelter Plus Care - Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","10","2","0","Glenda Kirkland:: 973 678 - 5882"
"Isaiah House","Isaiah House Brothers with Brothers Essex","YM=Unaccompanied Young Males under 18","ESSEX","12","10","2","Glenda Kirkland:: 973 678 - 5882"
"Isaiah House","Isaiah House-Community Creche-Essex","HC=Households with Children","ESSEX","8","8","0","Glenda Kirkland:: 973 678 - 5882"
"Isaiah House","Isaiah House-PH for Women with HIV/AIDS-Essex","SF=Single Females 18 years and older","ESSEX","10","10","0","Glenda Kirkland:: 973 678 - 5882"
"Isaiah House","Isaiah House - Teen MAP -Essex","YF=Unaccompanied Young Females under 18","ESSEX","3","3","0","Glenda Kirkland:: 973 678 - 5882"
"Isaiah House","Isaiah House - Single Women - Essex","SF=Single Females 18 years and older","ESSEX","4","4","0","Glenda Kirkland:: 973 678 - 5882"
"Jersey City Episcopal NJDCA","JCECDC Shelter Plus Care Hudson","SMF=Single Males and Females 18 years and older","HUDSON","10","8","0","201 209 - 9301"
"Jersey City Episcopal NJDCA","JCECDC - CCMH/HUD - Hudson","SMF+HC=Single Male and Female and Households with Children","HUDSON","14","13","1","Susan Milan:: 201 936 - 3750"
"Jersey City Episcopal NJDCA","JCECDC- CCMH/HOPWA- Hudson","SMF+HC=Single Male and Female and Households with Children","HUDSON","21","16","5","Susan Milan:: 201 521 - 9634"
"Jersey City Episcopal NJDCA","JCECDC - RIST - Hudson","SMF=Single Males and Females 18 years and older","HUDSON","25","25","1","Flora Cifelli:: 201 659 - 2295"
"Jewish Family Services","JFS-At Risk Supportive Housing-Atlantic","SMF=Single Males and Females 18 years and older","ATLANTIC","3","7","0","609 822 - 1108"
"Jewish Family Services","JFS - Shelter Plus Care - Atlantic","SMF+HC=Single Male and Female and Households with Children","ATLANTIC","10","10","0","Laura Rodgers:: 609 822 - 1108"
"Jewish Family Services","JFS-CSP-Shelter Plus Care-Atlantic","SMF=Single Males and Females 18 years and older","ATLANTIC","3","5","0","609 822 - 1108"
"Lets Celebrate","LCI-Preventer Program-Hudson","SF+HC=Single Females and Households with Children","HUDSON","4","4","0","Susan Wagner-Glaser:: 201 433 - 5438"
"Lutheran Ministries of NJ  Mercer","LSM Stepping Stones Mercer","SMF=Single Males and Females 18 years and older","MERCER","64","52","12","Paul Lamin:: 609 394 - 5115"
"Making It Possible to End Homelessness MIPH","MIPH - POWERS - Middlesex","SF=Single Females 18 years and older","MIDDLESEX","7","4","1","Christine Lackey:: 732 729 - 7770"
"Making It Possible to End Homelessness MIPH","MIPH Imani Park - Middlesex","SMF+HC=Single Male and Female and Households with Children","MIDDLESEX","30","15","23","Christine Lackey:: 732 572 - 3585"
"Making It Possible to End Homelessness MIPH","MIPH Amandla Crossing - Middlesex","SMF+HC=Single Male and Female and Households with Children","MIDDLESEX","55","16","42","Christine Lackey:: 732 549 - 5559"
"Market Street Mission","MSM-Jersey Shore Rescue Mission-Monmouth-Emergency Shelter","SM=Single Males 18 years and older","MONMOUTH","27","9","18","732 988 - 0242"
"Market Street Mission","MSM-Jersey Shore Rescue Mission-Monmouth-Life Change","SM=Single Males 18 years and older","MONMOUTH","10","4","6","Garry Williams:: 732 988 - 0242"
"Market Street Mission","MSM GRADUATES MORRIS","SM=Single Males 18 years and older","MORRIS","10","9","1","Gregory Cole:: 973 538 - 0431"
"Market Street Mission","MSM Overnight Guest Morris","SM=Single Males 18 years and older","MORRIS","20","20","0","Gregory Cole:: 973 538 - 0431"
"Market Street Mission","MSM Life Change Morris","SM=Single Males 18 years and older","MORRIS","55","38","17","Gregory Cole:: 973 538 - 0431"
"Mental Health Association of Essex County","MHAEC ShelterPlusCare Youth Essex","SMF=Single Males and Females 18 years and older","ESSEX","10","9","1","973 509 - 3777"
"Mental Health Association of Essex County","MHAEC - Supportive Living Services - Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","23","22","1","973 509 - 3777"
"Mental Health Association of Essex County","MHAEC ShelterPlusCare 2 Essex","SMF=Single Males and Females 18 years and older","ESSEX","12","12","0","973 509 - 3777"
"Mental Health Association of Essex County","MHAEC ShelterPlusCare Essex","SMF=Single Males and Females 18 years and older","ESSEX","15","14","1","973 509 - 3777"
"Mental Health Association of Morris County","MHAMC DCA SC MORRIS 1","SMF=Single Males and Females 18 years and older","MORRIS","9","3","0","973 334 - 3496"
"Mental Health Association of Morris County","MHAMC DCA SC MORRIS 3","SMF=Single Males and Females 18 years and older","MORRIS","10","3","0","973 334 - 3496"
"Mental Health Association of Morris County","MHAMC DCA SC Morris 4","SMF=Single Males and Females 18 years and older","MORRIS","12","4","0","973 334 - 3496"
"mhaessexnj","MHAEC - SLS - Orange Road Expansion- Essex",,"ESSEX","6","6","0","973 509 - 3777"
"Monmouth County Department of Social Services","MCDSS Homeward Bound Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","25","24","0","Richard Reznak:: 732 431 - 6028"
"Monmouth County Department of Social Services","MCDSS Ray of Light 1 Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","3","1","0","732 431 - 6028"
"Monmouth County Department of Social Services","MCDSS Ray of Light 2 Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","4","2","0","732 431 - 6028"
"Monmouth County Department of Social Services","MCDSS Ray of Light Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","6","3","0","Richard Reznak:: 732 431 - 6028"
"Monmouth County Department of Social Services","MCDSS-Housing with Dignity-Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","18","17","1","Richard Reznak:: 732 431 - 6028"
"Monmouth County Department of Social Services","MCDSS Homeward Bound II - Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","14","14","0","Richard Reznak:: 732 431 - 6028"
"Monmouth County Department of Social Services","MCDSS Safe and Sound - Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","6","6","0","Richard Reznak:: 732 431 - 6028"
"Monmouth County Department of Social Services","MCDSS Lynch's Lodging Monmouth","HC=Households with Children","MONMOUTH","6","6","0","Richard Reznak:: 732 431 - 6028"
"Monmouth Housing Alliance","MHA- Park Ave. - Monmouth","HC=Households with Children","MONMOUTH","4","4","0","Mariann McDaniel:: 732 542 - 1482"
"Monmouth Neighborhood Housing","MNH Manna House Monmouth","HC=Households with Children","MONMOUTH","10","10","0","Margaret Comfort:: 732 566 - 8774"
"Mother  Child Residential Services","Mother/Child HUD Apartments - Gloucester","HC=Households with Children","GLOUCESTER","5","4","0","CoCGuest 2:: 856 853 - 1761"
"Mother  Child Residential Services","MCRS EA Families Gloucester","HC=Households with Children","GLOUCESTER","18","16","4","Gwen Houldsworth:: 856 853 - 1761"
"Mother  Child Residential Services","MCRS Transitional Housing Gloucester","HC=Households with Children","GLOUCESTER","2","0","2","856 853 - 1761"
"Newark Transitional Living","NTL-Newark Transitional Living-Essex","SMF=Single Males and Females 18 years and older","ESSEX","64","37","27","Ravette Pray:: 973 242 - 1119"
"Newark YMCA","NYMCA Youth Emergency Service Essex","YMF=Unaccompanied Young Males and Females under 18","ESSEX","19","3","17","Leslie Boston:: 973 273 - 7000"
"Newark YMCA","NYMCA Emergency Residence Program Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","186","116","105","Mabel Elmore:: 973 624 - 8900"
"New Bridge Services","NBS Supportive Housing Morris","SMF=Single Males and Females 18 years and older","MORRIS","30","13","16","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS Pompton Plains Residence Morris","SMF=Single Males and Females 18 years and older","MORRIS","6","6","0","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS Apartment Program Morris","SMF=Single Males and Females 18 years and older","MORRIS","25","11","8","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS SRAP Housing Program Morris","SMF=Single Males and Females 18 years and older","MORRIS","5","1","2","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS Pompton Plains 4Bed Apt Morris","SMF=Single Males and Females 18 years and older","MORRIS","4","0","4","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS 110 S. Terr. Residence Boonton NJ","SMF=Single Males and Females 18 years and older","MORRIS","11","9","1","Jack Muzikowski:: 973 334 - 0361"
"New Bridge Services","NBS Boonton Residence Morris","SMF=Single Males and Females 18 years and older","MORRIS","10","10","0","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS HUD 811 Morris","SMF=Single Males and Females 18 years and older","MORRIS","11","3","0","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS Pompton Lakes Residence","SMF=Single Males and Females 18 years and older","MORRIS","5","4","1","Jack Muzikowski:: 973 616 - 2042"
"New Bridge Services","NBS Supportive Housing - Passaic","SMF=Single Males and Females 18 years and older","PASSAIC","3","2","1","Jack Muzikowski:: 973 686 - 2247"
"New Bridge Services","NBS Flanders Residence Morris","SMF=Single Males and Females 18 years and older","MORRIS","15","14","1","Jack Muzikowski:: 973 927 - 1559"
"New Bridge Services","NBS Supportive Housing 21 - Morris","SMF=Single Males and Females 18 years and older","MORRIS","15","14","3","Jack Muzikowski:: 973 686 - 2200"
"New Community Corp","NCC-Harmony House-Essex","HC=Households with Children","ESSEX","96","77","20","Diane Young:: 973 623 - 8555"
"Newly Destined Inc","NDI - 1114 Broad Street - Essex","SMF=Single Males and Females 18 years and older","ESSEX","50","19","31","Dwight Jenkins:: 973 242 - 8088"
"NJ Community Development Corp.","NJCDC-Marion Street Apartments-Passaic","SMF=Single Males and Females 18 years and older","PASSAIC","9","7","3","Frances Curley:: 973 413 - 1655"
"NJ Community Development Corp.","NJCDC-Birch Street Apts-Passaic","SMF=Single Males and Females 18 years and older","PASSAIC","15","15","0","Jenai Gaccione:: 973 413 - 1452"
"NJ Community Development Corp.","NJCDC Housing First - Passaic","SMF=Single Males and Females 18 years and older","PASSAIC","14","14","0","Jenai Gaccione:: 973 413 - 1452"
"NJ Community Development Corp.","NJCDC-Independence House - Passaic","SM=Single Males 18 years and older","PASSAIC","10","6","4","Frances Curley:: 973 413 - 1714"
"NJD Veterans Affairs","NJDMAVA - Veterans Haven - Camden","SMF=Single Males and Females 18 years and older","CAMDEN","40","37","5","Walter Nall:: 609 561 - 0269"
"North Hudson Community Action","NHCAC HUD Transitional Housing Program Hudson","HC=Households with Children","HUDSON","11","16","0","Michele Musumici:: 201 210 - 0333 x5005"
"North Hudson Community Action","NHCAC Temporary Housing Program Hudson","SMF+HC=Single Male and Female and Households with Children","HUDSON","3","1","2","Michele Musumici:: 201 210 - 0333 x5005"
"North Hudson Community Action","NHCAC DCA Transitional Housing Program Hudson","SMF+HC=Single Male and Female and Households with Children","HUDSON","6","6","2","Michele Musumici:: 201 210 - 0333 x5005"
"O.C.E.A.N. Inc.","OCEAN Inc Monmouth Supportive Housing Phase 2","SMF=Single Males and Females 18 years and older","MONMOUTH","7","7","0","Heather Matos:: 732 244 - 5333 ext.914"
"O.C.E.A.N. Inc.","OCEAN Inc Dover Road Supportive Housing","HC=Households with Children","OCEAN","4","4","0","Heather Matos:: 732 244 - 5333"
"O.C.E.A.N. Inc.","OCEAN Inc Jay Street Program","HC=Households with Children","OCEAN","10","10","0","Heather Matos:: 732 244 - 5333 ext.914"
"O.C.E.A.N. Inc.","OCEAN Inc Manitou Supportive Housing Phase 4 Ocean","HC=Households with Children","OCEAN","2","2","0","732 244 - 5333"
"O.C.E.A.N. Inc.","OCEAN Inc Monmouth Supportive Housing","SMF=Single Males and Females 18 years and older","MONMOUTH","7","7","0","Heather Matos:: 732 244 - 5333 ext."
"Ocean Mental Health","OMHS Leasing Vouchers  2009 CSP Ocean","SMF=Single Males and Females 18 years and older","OCEAN","2","1","0","732 269 - 4849 ext.2"
"Ocean Mental Health","OMHS SC 2009 CSP Ocean","SMF=Single Males and Females 18 years and older","OCEAN","5","1","4","732 269 - 4849 ext2"
"Ocean Mental Health","OMHS HOME Grant Ocean","SMF+HC=Single Male and Female and Households with Children","OCEAN","1","1","0","Tom Finnerty:: 732 269 - 4849"
"Ocean Mental Health","OMHS 2007 SC CSP Ocean","SMF=Single Males and Females 18 years and older","OCEAN","2","2","0","732 269 - 4849 ext.2"
"Ocean Mental Health","OMHS SC 2006 CSP Ocean","SMF=Single Males and Females 18 years and older","OCEAN","1","1","0","732 269 - 4849 ext.2"
"Ocean Mental Health","OMHS Leasing 2009 LHA Ocean","SMF=Single Males and Females 18 years and older","OCEAN","1","1","0","732 269 - 4849 ext.2"
"Ocean Mental Health","OMHS Cornerstone Ocean","SMF+HC=Single Male and Female and Households with Children","OCEAN","6","6","0","Brianna Malley:: 732 269 - 4849 x642"
"Ocean Mental Health","OMHS SC 2009 LHA Ocean","SMF=Single Males and Females 18 years and older","OCEAN","1","1","0","732 269 - 4849 ext.2"
"Ocean's Harbor House","OHH Transitional Living Program Ocean","SMF+HC=Single Male and Female and Households with Children","OCEAN","12","11","1","Tricia Passuth:: 732 281 - 0822"
"Palisades Emergency Corporation","PERC - Shelter - Hudson","SMF=Single Males and Females 18 years and older","HUDSON","40","38","2","Thomas Harrigan:: 201 348 - 8150"
"Palisades Emergency Corporation","PERC-Family Shelter-Hudson","HC=Households with Children","HUDSON","1","0","1","Thomas Harrigan:: 201 348 - 8150"
"Passaic YMCA","PYMCA-River Drive Residence SRO- Passaic","SMF=Single Males and Females 18 years and older","PASSAIC","100","86","14","Kim Williams:: 973 777 - 1263"
"Paterson Task Force","PatersonTaskForce -Hilltop Haven FS-Passaic","HC=Households with Children","PASSAIC","13","8","5","Monica Piccirillo:: 973 742 - 0603"
"Paterson YMCA","Paterson YMCA Cash Housing Passaic","SMF+HC=Single Male and Female and Households with Children","PASSAIC","8","6","2","Abigail Nieves:: 973 684 - 2320"
"Paterson YMCA","PatersonYMCA SPC Passaic","SMF=Single Males and Females 18 years and older","PASSAIC","95","76","19","Abigail Nieves:: 973 684 - 2320"
"Paterson YMCA","Paterson YMCA-Permanent Housing-Passaic","SMF=Single Males and Females 18 years and older","PASSAIC","100","94","6","Abigail Nieves:: 973 684 - 2320"
"Positive Health Care Inc.","PHC Homeless Shelter Program Essex","SM=Single Males 18 years and older","ESSEX","13","9","4","Dr David Ajuluchukwu:: 973 596 - 9667"
"Positive Health Care Inc.","PHC-PHCI Permanent Housing-Essex","HC=Households with Children","ESSEX","4","4","0","Dr David Ajuluchukwu:: 973 596 - 9667"
"PROCEED Inc.","PROCEED TH Program - Union","SM=Single Males 18 years and older","UNION","9","8","1","Claudia Ortiz:: 908 351 - 7727 ext"
"Project Live","PLI Shelter Plus Care - Essex","SMF=Single Males and Females 18 years and older","ESSEX","41","38","3",
"Project Solutions","PS Project Solutions Womens Shelter Essex","HC=Households with Children","ESSEX","80","32","48","Dolores Wright:: 973 353 - 0005"
"Project Solutions","PS Project Solutions Mens Shelter Essex","SM=Single Males 18 years and older","ESSEX","72","6","65","Soulieo Kirby:: 973 371 - 5266"
"Real Families II","Real Families Inc-Emergency Shelter-Essex","SM=Single Males 18 years and older","ESSEX","58","15","43","Samantha Baine:: 973 622 - 0071 /0076"
"Real House Inc","Real House-Juniper House-Essex","SF=Single Females 18 years and older","ESSEX","40","32","8","Natalie Joseph:: 973 746 - 2400"
"Rescue Mission","RMOT - Transitional Housing","SM=Single Males 18 years and older","MERCER","9","8","1","Sheila Scott:: 609 396 - 2183"
"Rescue Mission","RMOT - 12 Carroll Street - Mercer","SM=Single Males 18 years and older","MERCER","5","5","0","Sheila Scott:: 609 396 - 2183"
"Rescue Mission","RMOT-Nightly Emergency Shelter-Mercer","SMF=Single Males and Females 18 years and older","MERCER","177","128","99","Joyce Williams:: 609 695 - 6479"
"Respond Inc","Respond Cross Roads Transitional House","SM=Single Males 18 years and older","CAMDEN","11","9","2","Judy Everts:: 856 365 - 6597"
"Robins' Nest Inc","RN- Life Link Home SPlusC - Gloucester","SMF+HC=Single Male and Female and Households with Children","GLOUCESTER","10","9","1","Jackie Watkins:: 856 881 - 8689"
"Robins' Nest Inc","RN-Life Link Home S-Rap -Gloucester","SMF=Single Males and Females 18 years and older","GLOUCESTER","20","18","2","Jackie Watkins:: 856 881 - 8689"
"Roots and Wings","Roots and Wings-Client Affairs-Morris","SMF=Single Males and Females 18 years and older","MORRIS","8","6","0","Jenni Briggs:: 973 316 - 6044"
"Rural Development Corp.","RDC Cumberland Family Shelter - Cumberland","SMF+HC=Single Male and Female and Households with Children","CUMBERLAND","56","34","17","Tammy Morris:: 856 825 - 3144"
"Salem County IAC Leased Apts Program","IAC Leased Apts/Homes Program-Salem","SMF+HC=Single Male and Female and Households with Children","SALEM","15","11","3","Raymond Bolden:: 856 935 - 7510 X8319"
"Salvation Army","SAPA- Care House- Middlesex","SM=Single Males 18 years and older","MIDDLESEX","18","10","8","Penny Clark:: 732 826 - 7040"
"Salvation Army","SAPA Emergency Winter Shelter for Men Middlesex","SM=Single Males 18 years and older","MIDDLESEX","20","20","0","Penny Clark:: 732 826 - 7040"
"Salvation Army Montclair Corp.","SA Cornerstone Shelter Family - Essex","HC=Households with Children","ESSEX","3","3","0","Michele Kroeze:: 973 744 - 3312"
"Salvation Army Montclair Corp.","SA Cornerstone Shelter Single Male - Essex","SM=Single Males 18 years and older","ESSEX","6","5","1","Michele Kroeze:: 973 744 - 3312"
"Salvation Army Montclair Corp.","SA Cornerstone Shelter Female - Essex","SF=Single Females 18 years and older","ESSEX","4","4","0","Michele Kroeze:: 973 744 - 3312"
"Salvation Army Union","Salvation Army Shelter Union","SMF=Single Males and Females 18 years and older","UNION","48","39","14","Elizabeth Jones:: 908 352 - 8586"
"Samaritan Inn","SI-Family Shelter - Sussex","HC=Households with Children","SUSSEX","8","6","2","Dawn Metzger:: 973 827 - 8911"
"SEED Corp.","SEED Corp-Essex Cares IHN-Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","4","4","0","Melody Federico:: 973 678 - 1600"
"SEED Corp.","SEED Corp. - Essex Cares UBHC - Essex","SMF=Single Males and Females 18 years and older","ESSEX","9","9","0","Melody Federico:: 973 686 - 2250"
"Sierra House","Sierra House- THousing Program- Essex","SF+HC=Single Females and Households with Children","ESSEX","10","10","1","Keely Freeman:: 973 678 - 3556"
"St. Joseph Regional Medical Center. Att. PATH","SJ SPlusC Passaic","SMF+HC=Single Male and Female and Households with Children","PASSAIC","12","11","1","Cesar Barrantes:: 973 754 - 4781"
"St. Joseph's Home","Saint Joseph Transitional Housing Hudson","HC=Households with Children","HUDSON","24","24","0","Sr. Rosemary Coffey:: 201 413 - 9280"
"St. Paul's CDC","St. Paul's Emergency Men's Shelter Passaic","SM=Single Males 18 years and older","PASSAIC","40","19","21","Marlene Williams:: 973 278 - 7900 x45"
"St. Peter's Haven","St. Peters Haven-Shelter-Passaic","HC=Households with Children","PASSAIC","3","2","1","Susan Milan:: 973 546 - 3406"
"St. Philip's Ministry on the UMC","St. Philip's Ministry Place of Promise Passaic","SM=Single Males 18 years and older","PASSAIC","11","11","0","Stafford Miller:: 973 720 - 9127"
"Strength of Our Sisters","SOS-SHP Leasing-Passaic","SMF+HC=Single Male and Female and Households with Children","PASSAIC","7","7","0","Valentina Holston:: 973 865 - 5520"
"Strength of Our Sisters","SOS-SSH Beds-Passaic","SMF+HC=Single Male and Female and Households with Children","PASSAIC","100","47","53","Valentina Holston:: 973 831 - 8089"
